raw_test	raw_control	normal_test	normal_control
144.536	55.3346	6.85202	5.84717
205.916	73.8624	7.06625	5.66335
14590.0	8865.98	13.4354	12.5233
4257.64	1590.72	11.0626	9.28019
2006.93	808.431	10.4345	9.46706
297.319	157.757	7.68091	6.83567
2563.83	1854.82	9.9111	9.29622
1552.33	859.454	9.99992	9.38441
45275.3	25711.0	15.1843	14.1789
274.852	124.703	7.66409	6.84151
42592.7	25608.9	13.5526	12.8933
268.902	117.047	7.66032	6.7939
208.538	87.1572	7.35256	6.30899
10906.0	5985.14	13.1444	12.466
7755.35	4132.21	12.6161	11.7955
14889.9	8969.92	13.6701	13.0415
2593.41	1443.46	10.6369	9.80236
7014.14	3679.14	12.428	11.8301
6522.42	1029.79	11.7643	8.77535
11707.1	5077.78	13.123	12.07
4718.78	2699.26	11.7611	10.9495
1772.79	883.236	10.2684	9.61304
1704.57	709.75	10.2004	9.17401
4525.56	2655.94	11.7626	11.1489
8228.48	4309.75	12.6161	11.9524
15346.3	8591.71	13.7295	13.0645
39247.4	25824.7	15.1335	14.4574
3566.84	2129.36	11.3546	10.7496
4638.82	2952.74	11.6235	10.909
1848.22	931.152	10.3345	9.59299
173.782	89.2502	6.9553	6.27285
1696.99	901.056	10.1413	9.26641
374.343	187.395	7.94885	7.27664
276.471	112.044	7.39517	6.26516
325.672	101.891	7.80753	6.91495
559.181	300.908	8.03634	7.25185
3875.57	2016.81	11.5017	10.8547
3400.0	1712.04	11.2934	10.7038
13846.3	2244.98	13.2917	10.5319
215.643	42.7183	7.22843	4.8573
6248.86	3141.49	12.2811	11.5358
1031.16	232.982	9.1048	6.77002
2605.52	1336.43	10.8118	9.88102
18415.0	11423.4	12.9693	11.9423
187.034	102.688	6.04291	5.09832
245.944	108.636	7.54835	6.66201
3073.83	1446.52	8.82779	7.63108
39493.8	15274.4	15.1511	13.6609
197.714	112.37	6.66047	5.87666
1361.37	532.982	9.86824	8.56629
4243.37	2296.64	11.6423	10.9165
5205.55	2860.85	11.9835	11.2219
42592.7	27492.7	15.1739	14.5514
64.8418	28.637	5.82517	4.97528
547.889	262.692	8.61046	7.86411
2698.24	1508.0	10.8337	10.2249
209.019	99.4081	7.36174	6.75461
841.444	464.392	8.97182	8.25763
183.308	103.482	7.18392	6.59081
2072.22	899.3	8.16455	6.9647
1693.46	962.136	10.0457	9.20606
3311.39	1053.04	11.1693	9.34045
570.938	229.698	8.49797	7.79453
4858.24	2705.75	11.8176	11.2023
1119.67	648.841	7.3492	6.54441
2553.49	1158.88	10.8179	9.96188
580.838	308.656	8.70731	8.10573
2866.93	1645.82	10.9462	10.185
554.861	256.251	8.6557	7.95029
6644.58	4164.52	12.3193	11.6154
10946.6	7245.28	13.1374	12.5503
3199.38	858.601	10.9831	8.64745
175.985	76.4073	7.12208	6.22004
998.741	365.668	9.35169	7.98281
1755.79	947.651	10.248	9.51974
76.6358	42.5932	6.05671	5.46701
2070.13	998.268	10.3358	9.33022
127.702	66.21	6.6879	5.9152
4198.61	2317.54	11.6359	11.005
268.048	151.837	7.61537	7.02714
4719.56	397.995	11.3622	7.73755
51.4803	21.9895	5.33434	4.59917
85.7091	38.6805	6.20194	5.354
111.747	56.5579	6.41971	5.52563
310.192	159.63	7.81314	6.97323
303.983	134.564	7.75538	7.16196
5720.43	3077.78	11.967	11.1479
2445.07	1373.39	10.7642	10.1453
6456.17	3784.71	12.317	11.5978
13102.5	7308.7	13.4484	12.6855
4088.97	2074.83	11.5182	10.4848
235.388	121.365	7.46909	6.77365
14878.0	8141.03	13.6316	12.6531
11900.3	6945.69	13.2574	12.4205
758.522	217.73	8.8457	7.25928
900.308	329.568	9.17834	8.28866
1052.04	503.875	9.48697	8.82381
704.975	281.819	8.85376	7.82932
12667.2	6475.93	13.3768	12.7603
1016.47	579.382	9.06903	8.47875
1299.5	669.316	9.79441	9.12711
131.012	57.0574	6.7498	5.86933
1861.04	915.814	10.3196	9.59139
2518.64	853.889	10.7521	9.21234
1459.1	671.186	9.9861	9.19333
6009.96	3432.18	12.2069	11.5764
575.305	270.719	8.69951	8.0054
682.829	64.0047	8.50734	5.37535
926.884	552.333	9.20448	8.58908
302.981	159.456	7.76905	7.14117
3613.64	2128.44	11.3789	10.786
215.828	97.0081	7.40799	6.60822
4354.65	1870.59	11.3994	10.4274
4916.88	2430.21	11.8616	11.0844
2754.65	921.919	10.9347	9.82312
4095.77	784.539	10.9149	7.7154
