raw_test	raw_control	normal_test	normal_control
562.655	2870.23	6.38727	8.45333
138.676	208.312	6.56675	7.23406
2425.11	6284.09	10.5879	12.2925
31536.7	79933.2	14.5929	15.8593
6271.04	8101.68	12.2595	12.9479
348.382	518.011	7.873	8.53025
902.063	1454.15	9.07473	9.88055
1470.08	3052.34	9.76887	11.0722
1326.93	2077.17	9.85637	10.9001
949.256	1274.06	9.03249	9.77671
316.061	348.12	7.89164	8.5392
369.58	1004.19	7.23064	8.79524
437.932	533.872	8.22304	9.11942
45.8135	52.452	5.25577	5.93341
1428.8	1926.3	9.93573	10.7005
5427.45	6209.51	12.0441	12.6784
