raw_test	raw_control	normal_test	normal_control
3450.56	6097.88	11.3212	12.4243
149.634	220.418	6.75768	7.55596
229.004	334.646	7.12384	7.7704
1052.97	1032.39	9.43785	10.1919
1891.58	2959.66	10.3721	11.3537
531.063	913.796	8.1329	9.1015
1262.75	1579.4	9.77803	10.516
586.291	873.178	8.62279	9.45376
829.978	913.153	9.16437	9.86097
3434.94	6064.39	11.1307	12.1487
1856.44	2661.69	10.3474	11.3095
466.817	1219.61	7.69568	8.99609
922.605	1264.23	6.33665	7.00452
57.0716	87.0897	5.62486	6.43422
37.6	116.372	4.96279	6.53577
3747.76	4119.58	11.2728	12.0234
479.109	693.716	8.3797	9.06476
41.5092	53.7617	5.18871	5.88952
41.9335	58.508	5.19314	5.93734
39.9398	47.9445	5.13581	5.77708
2824.84	3659.61	10.9995	11.6906
241.579	396.482	7.11307	7.93852
102.131	151.238	6.44263	7.28924
608.536	839.723	8.7461	9.51837
5101.75	6812.48	11.9628	12.7308
3431.4	6551.52	11.1476	12.3047
554.901	723.472	8.51805	9.3468
7795.32	9658.67	12.65	13.2454
45.423	52.3222	5.29718	5.95874
904.351	1104.35	9.25915	9.84515
72.6811	90.5124	5.96962	6.61238
25171.8	34162.3	14.4848	15.1361
149.119	485.148	6.55461	8.03412
690.616	872.319	8.11016	8.70344
414.238	586.163	8.26931	9.20209
3571.26	4492.62	11.3681	11.9684
5369.36	6410.94	12.0468	12.6366
4882.09	5542.83	11.8859	12.519
1519.11	1719.14	10.0391	10.7934
1341.67	1939.33	9.87384	10.7853
8690.56	11117.2	12.7159	13.402
56.3883	67.9236	5.60599	6.30085
56.9268	78.6008	5.64092	6.38755
39.0151	53.7352	5.09462	5.92789
430.119	543.702	8.27294	8.98708
60.4541	75.8476	5.72418	6.38951
75.4211	94.3024	6.01951	6.7609
56.2107	68.365	5.58928	6.30305
1268.97	1547.38	9.67526	10.5783
30.5463	45.8555	4.75472	5.64911
87.7854	110.344	6.24536	6.9012
56.1855	70.7225	5.59139	6.3081
1574.44	2210.51	9.91826	10.8055
72.24	93.0469	5.9668	6.76683
33.9575	48.9224	4.91508	5.7292
1948.01	2049.91	10.3976	10.986
11104.1	15824.0	13.2101	13.8631
33.7535	40.1585	4.8844	5.49924
1925.58	3836.18	10.1951	11.6388
55.8129	64.1978	5.48238	6.25583
1047.35	1663.71	8.14952	8.84569
547.992	1006.38	8.43188	9.57235
732.435	2524.36	7.56068	8.84141
2406.03	3778.33	10.197	10.905
638.971	809.537	8.81582	9.52425
67.8504	105.604	5.88748	6.92476
105.812	251.675	6.26837	7.37321
102.506	183.413	6.44565	7.44268
41.973	56.6095	5.12336	5.8807
554.072	820.172	7.76176	8.36674
47.0662	81.3834	5.29501	6.17561
3272.8	6135.84	11.0791	12.0882
397.154	382.312	8.06147	8.68196
5728.71	10163.4	12.1434	13.2026
6001.4	8963.39	12.1716	12.8883
5437.02	8295.27	11.9314	13.1429
1721.59	2908.92	10.1484	11.0096
78.7913	149.648	5.89088	6.77046
648.805	768.144	8.84942	9.4738
1080.79	1645.84	9.51241	10.5589
61.1656	87.9163	5.53552	6.13123
7498.38	9145.74	12.5865	13.202
599.793	911.331	8.6411	9.25329
2091.5	3088.79	10.424	11.055
106.784	152.698	6.25702	7.07421
1400.26	2886.51	9.89543	11.1851
2067.34	2483.32	10.5282	11.2137
3204.51	3195.64	11.0206	11.6311
111.196	203.964	6.52823	7.68017
2217.19	4086.22	9.60803	10.275
2045.03	4269.44	10.0869	11.1626
534.571	2320.11	6.70638	8.2196
581.566	1163.48	7.65576	8.58286
598.172	843.167	8.69696	9.55798
4535.72	7116.93	11.6255	12.301
190.679	296.31	7.22032	8.44123
1220.98	2203.15	9.06138	10.2898
341.576	494.328	7.79052	8.45424
8578.77	10718.7	12.6744	13.3114
41.0177	59.555	5.00022	5.59084
15947.9	26380.8	13.703	14.4898
254.478	381.441	7.63144	8.55466
174.994	513.677	6.69251	8.6428
72.7685	93.556	5.986	6.68012
12067.3	18118.2	13.3293	14.2629
645.741	956.918	8.76175	9.76645
375.546	1217.76	8.00307	9.8974
834.359	1723.79	8.68978	9.94484
217.223	341.719	7.42632	8.38213
1087.45	1556.61	9.31907	10.0388
172.257	186.127	7.12079	7.76035
8581.34	17171.8	12.6281	13.8395
638.547	1061.03	8.70321	9.69015
76.2649	98.114	6.04007	6.83376
40.843	84.7535	5.16604	6.62797
33.7533	46.3096	4.88584	5.58245
34.4807	51.5896	4.8593	5.7003
33970.0	53717.8	14.9434	15.6056
31824.2	44014.6	14.8408	15.4487
1049.93	1039.03	9.38777	10.0945
727.86	1487.37	8.706	9.76562
4056.69	6855.88	11.5616	12.6296
1982.55	2724.9	10.4638	11.3667
66.9818	80.2587	5.85958	6.53371
161.549	290.124	6.89188	7.72009
1604.84	1757.0	10.1372	10.7254
4011.1	4743.49	11.5484	12.2346
250.082	340.987	7.55785	8.18374
53.355	67.7067	5.54388	6.19043
832.945	2090.42	8.91316	10.2037
382.358	463.768	8.16488	8.86683
821.16	1266.34	9.17365	10.1097
400.121	492.38	8.21665	8.83768
3477.34	6467.39	11.0331	11.9731
3371.5	5278.19	10.3204	11.0945
375.758	513.885	7.60506	8.53598
766.008	1052.01	9.04139	9.73408
2055.94	3350.89	10.4646	11.4648
824.267	2392.23	8.85536	10.5244
547.644	1294.15	8.12767	9.94582
166.937	352.848	6.75361	7.61603
805.079	1215.16	9.13955	9.90767
44.2354	70.1963	5.26944	6.19268
206.784	305.401	7.36354	8.11467
584.756	1002.65	8.46531	9.17217
238.581	297.932	7.48316	8.11487
5801.92	9579.25	11.6508	12.6717
539.789	785.607	8.60649	9.55025
1379.55	2235.63	9.59823	10.3616
1211.02	1292.79	9.64649	10.3526
953.129	1426.34	9.33418	10.2399
7796.46	10560.7	12.6039	13.2838
3468.62	12896.6	11.0827	13.1835
1590.44	2260.83	10.0139	10.6907
74.6741	103.633	5.85434	6.74547
30.3212	36.2581	4.7303	5.35275
1783.55	4409.87	9.94402	11.5454
50.6546	84.8591	5.46124	6.38361
14068.4	23455.7	13.3955	14.103
1085.88	1270.67	9.562	10.3304
1088.54	1430.08	9.47923	10.1054
179.699	286.524	6.63863	7.24699
587.532	826.649	8.69226	9.58495
17925.2	32019.8	13.9854	14.8028
836.188	1316.67	8.9677	9.77615
791.627	965.724	9.10995	9.88295
4932.77	6532.48	11.7847	12.5023
3002.43	3696.52	11.0998	11.7314
213.832	294.752	7.40098	8.136
1205.75	1492.38	9.69129	10.4617
3075.82	6764.62	9.6274	10.5316
1872.7	2544.31	10.3177	11.0495
8550.87	15422.1	12.7034	13.6547
75.789	110.173	5.96401	6.56665
2253.95	4316.35	10.434	11.5216
803.192	1160.84	9.06669	9.94012
41.7281	48.6655	5.13975	5.73634
975.379	1057.81	9.40335	10.0959
3127.63	4687.9	11.136	12.0578
61922.6	131017.0	15.5339	16.6695
342.989	459.626	7.96723	8.57217
2604.58	3731.88	10.8766	11.8325
143.363	205.006	6.49369	7.09141
54.514	73.2581	5.53567	6.22049
